symbol,price,volume,timestamp
MSFT,414.58,211,2026-04-16T15:01:30.739653+00:00
GOOGL,139.94,327,2026-04-16T15:01:31.059954+00:00
GOOGL,139.78,97,2026-04-16T15:01:31.160974+00:00
TSLA,175.21,19,2026-04-16T15:01:31.261923+00:00
GOOGL,139.55,173,2026-04-16T15:01:31.362838+00:00
AAPL,181.59,400,2026-04-16T15:01:31.463851+00:00
TSLA,175.17,409,2026-04-16T15:01:31.564581+00:00
AMZN,185.25,186,2026-04-16T15:01:31.665508+00:00
AMZN,184.81,262,2026-04-16T15:01:31.766517+00:00
MSFT,414.76,111,2026-04-16T15:01:31.867680+00:00
MSFT,414.79,265,2026-04-16T15:01:31.968630+00:00
AAPL,181.94,145,2026-04-16T15:01:32.069489+00:00
MSFT,415.26,276,2026-04-16T15:01:32.170436+00:00
AMZN,184.99,407,2026-04-16T15:01:32.271585+00:00
GOOGL,139.44,342,2026-04-16T15:01:32.372474+00:00
AAPL,182.27,118,2026-04-16T15:01:32.473244+00:00
TSLA,175.63,185,2026-04-16T15:01:32.573990+00:00
GOOGL,139.34,223,2026-04-16T15:01:32.674553+00:00
MSFT,414.87,464,2026-04-16T15:01:32.775735+00:00
MSFT,414.58,65,2026-04-16T15:01:32.876929+00:00
MSFT,414.6,321,2026-04-16T15:01:32.977627+00:00
GOOGL,139.76,294,2026-04-16T15:01:33.078411+00:00
AMZN,184.82,204,2026-04-16T15:01:33.179241+00:00
AAPL,182.21,241,2026-04-16T15:01:33.280069+00:00
TSLA,176.03,25,2026-04-16T15:01:33.380951+00:00
MSFT,414.63,119,2026-04-16T15:01:33.481806+00:00
GOOGL,139.87,16,2026-04-16T15:01:33.582765+00:00
AAPL,181.98,327,2026-04-16T15:01:33.683884+00:00
AAPL,181.83,137,2026-04-16T15:01:33.784981+00:00
AMZN,184.73,429,2026-04-16T15:01:33.885881+00:00
MSFT,414.19,300,2026-04-16T15:01:33.986343+00:00
AAPL,181.69,167,2026-04-16T15:01:34.087166+00:00
AMZN,184.24,382,2026-04-16T15:01:34.188023+00:00
MSFT,414.39,424,2026-04-16T15:01:34.288708+00:00
MSFT,413.94,90,2026-04-16T15:01:34.389550+00:00
GOOGL,139.49,388,2026-04-16T15:01:34.490743+00:00
AAPL,181.59,196,2026-04-16T15:01:34.591556+00:00
MSFT,414.0,452,2026-04-16T15:01:34.692307+00:00
TSLA,175.78,438,2026-04-16T15:01:34.793045+00:00
AMZN,184.11,386,2026-04-16T15:01:34.893496+00:00
MSFT,414.28,458,2026-04-16T15:01:34.993990+00:00
AMZN,184.24,33,2026-04-16T15:01:35.095308+00:00
TSLA,175.61,471,2026-04-16T15:01:35.195994+00:00
TSLA,175.48,480,2026-04-16T15:01:35.296991+00:00
AMZN,184.73,182,2026-04-16T15:01:35.397887+00:00
